ID,Traditional,Simplified,Pinyin,Meaning
F012,半天,半天,bàntiān,
B00163,半途,半途,bàntú,
B00151,版圖,版图,bǎntú,
B00143,斑紋,斑纹,bānwén,
B00154,辦學,办学,bànxué,
A00117,扮演,扮演,bànyǎn,
A00115,半夜,半夜,bànyè,
F013,半夜,半夜,bànyè,
B00145,搬用,搬用,bānyòng,
B00164,半圓,半圆,bànyuán,
A00099,搬運,搬运,bānyùn,
B00135,班主任,班主任,bānzhǔrèn,
B00146,板子,板子,bǎnzi,
Q010,板子,板子,bǎnzi,
B00136,班子,班子,bānzi,
Q009,班子,班子,bānzi,
A00121,伴奏,伴奏,bànzòu,
B00137,班組,班组,bānzǔ,
A00154,雹,雹,báo,
A00155,薄,薄,báo,
A00176,報,报,bào,
A00185,抱,抱,bào,
A00186,豹,豹,bào,
A00188,暴,暴,bào,
A00194,爆,爆,bào,
A00158,寶,宝,bǎo,
A00156,飽,饱,bǎo,
A00162,保,保,bǎo,
A00139,包,包,bāo,
A00150,胞,胞,bāo,
A00148,苞,苞,bāo,
A00152,剥 [剝],剥,bāo / bō,
A00175,堡,堡,bǎo / bǔ / pù,
A00184,刨,刨,bào / páo,
A00151,炮,炮,bāo / páo / pào,
B00197,保安,保安,bǎo’ān,
A00153,褒貶,褒贬,bāo•biǎn,
A00177,報酬,报酬,bào•chóu,
A00179,報復,报复,bào•fù,
B00239,抱怨,抱怨,bào•yuàn,
B00215,報案,报案,bào'àn,
B00179,包辦,包办,bāobàn,
A00159,寶貝,宝贝,bǎobèi,
A00140,包庇,包庇,bāobì,
B00216,報表,报表,bàobiǎo,
B00236,抱不平,抱不平,bàobùpíng,
A00163,保持,保持,bǎochí,
B00217,報仇,报仇,bàochóu,
A00164,保存,保存,bǎocún,
B00218,報答,报答,bàodá,
B00220,報到,报到,bàodào,
A00178,報道,报道,bàodào,
B00219,報導,报导,bàodǎo,
A00189,暴動,暴动,bàodòng,
B00241,暴發,暴发,bàofā,
A00195,爆發,爆发,bàofā,
B00221,報廢,报废,bàofèi,
B00242,暴風雪,暴风雪,bàofēngxuě,
B00243,暴風雨,暴风雨,bàofēngyǔ,
B00237,抱負,抱负,bàofù,
A00141,包袱,包袱,bāofu,
Q016,包袱,包袱,bāofu,
A00142,包乾兒,包干儿,bāogànr,
E013,包乾兒,包干儿,bāogānr,
A00180,報告,报告,bàogào,
B00180,包工,包工,bāogōng,
B00222,報館,报馆,bàoguǎn,
A00165,保管,保管,bǎoguǎn,
A00193,曝光,曝光,bàoguāng,
A00160,寶貴,宝贵,bǎoguì,
B00223,報國,报国,bàoguó,
B00181,包裹,包裹,bāoguǒ,
B00189,飽含,饱含,bǎohán,
A00143,包含,包含,bāohán,
A00144,包涵,包涵,bāohán,
A00157,飽和,饱和,bǎohé,
A00166,保護,保护,bǎohù,
B00198,保護色,保护色,bǎohùsè,
B00224,報價,报价,bàojià,
B00191,寶劍,宝剑,bǎojiàn,
A00167,保健,保健,bǎojiàn,
B00199,保潔,保洁,bǎojié,
B00225,報警,报警,bàojǐng,
B00244,暴君,暴君,bàojūn,
A00181,報刊,报刊,bàokān,
B00226,報考,报考,bàokǎo,
B00192,寶庫,宝库,bǎokù,
A00145,包括,包括,bāokuò,
B00182,包攬,包揽,bāolǎn,
B00214,堡壘,堡垒,bǎolěi,
A00190,暴力,暴力,bàolì,
B00245,暴利,暴利,bàolì,
B00251,爆裂,爆裂,bàoliè,
B00200,保齡球,保龄球,bǎolíngqiú,
A00168,保留,保留,bǎoliú,
A00191,暴露,暴露,bàolù,
B00246,暴亂,暴乱,bàoluàn,
B00183,包羅萬象,包罗万象,bāoluó-wànxiàng,
B00252,爆滿,爆满,bàomǎn,
B00190,飽滿,饱满,bǎomǎn,
B00201,保密,保密,bǎomì,
A00182,報名,报名,bàomíng,
A00169,保姆,保姆,bǎomǔ,
B00202,保暖,保暖,bǎonuǎn,
B00253,爆破,爆破,bàopò,
B00238,抱歉,抱歉,bàoqiàn,
B00227,報請,报请,bàoqǐng,
B00203,保全,保全,bǎoquán,
B00184,包容,包容,bāoróng,
B00228,報社,报社,bàoshè,
A00161,寶石,宝石,bǎoshí,
B00204,保濕,保湿,bǎoshī,
A00170,保守,保守,bǎoshǒu,
B00229,報送,报送,bàosòng,
B00193,寶塔,宝塔,bǎotǎ,
B00247,暴徒,暴徒,bàotú,
A00171,保衛,保卫,bǎowèi,
A00146,包圍,包围,bāowéi,
B00205,保温,保温,bǎowēn,
B00194,寶物,宝物,bǎowù,
B00230,報喜,报喜,bàoxǐ,
A00172,保險,保险,bǎoxiǎn,
B00206,保鮮,保鲜,bǎoxiān,
B00185,包厢,包厢,bāoxiāng,
B00207,保險絲,保险丝,bǎoxiǎnsī,
B00232,報效,报效,bàoxiào,
B00231,報銷,报销,bàoxiāo,
B00186,包銷,包销,bāoxiāo,
B00233,報信,报信,bàoxìn,
B00248,暴行,暴行,bàoxíng,
B00234,報應,报应,bàoy•ìng,
B00208,保養,保养,bǎoyǎng,
B00209,保佑,保佑,bǎoyòu,
A00187,鮑魚,鲍鱼,bàoyú,
A00192,暴雨,暴雨,bàoyǔ,
E068,包圓兒,包圆儿,bāoyuánr,
B00195,寶藏,宝藏,bǎozàng,
B00249,暴躁,暴躁,bàozào,
A00196,爆炸,爆炸,bàozhà,
B00187,包扎,包扎,bāozhā,
B00250,暴漲,暴涨,bàozhǎng,
A00173,保障,保障,bǎozhàng,
A00174,保證,保证,bǎozhèng,
B00210,保證金,保证金,bǎozhèngjīn,
B00211,保證人,保证人,bǎozhèngrén,
A00183,報紙,报纸,bàozhǐ,
B00212,保值,保值,bǎozhí,
B00213,保重,保重,bǎozhòng,
B00254,爆竹,爆竹,bàozhú,
F018,爆竹,爆竹,bàozhú,
A00147,包裝,包装,bāozhuāng,
B00235,刨子,刨子,bàozi,
Q018,刨子,刨子,bàozi,
B00240,豹子,豹子,bàozi,
Q019,豹子,豹子,bàozi,
B00188,包子,包子,bāozi,
F017,包子,包子,bāozi,
Q017,包子,包子,bāozi,
A00149,孢子,孢子,bāozǐ,
B00196,寶座,宝座,bǎozuò,
B00089,霸權,霸权,bàquán,
F005,把兒,把儿,bàr,
A00066,跋涉,跋涉,báshè,
B00080,把守,把守,bǎshǒu,
B00074,拔腿,拔腿,bátuǐ,
B00090,霸王,霸王,bàwáng,
A00068,把握,把握,bǎwò,
B00081,把戲,把戏,bǎxì,
B00066,八仙桌,八仙桌,bāxiānzhuō,
B00088,罷休,罢休,bàxiū,
B00091,霸占,霸占,bàzhàn,
B00069,巴掌,巴掌,bāzhang,
Q004,巴掌,巴掌,bāzhang,
Q006,把子,把子,bàzi,
B00084,把子,把子,bàzǐ,
B00082,把子,把子,bǎzi,
Q005,把子,把子,bǎzi,
B00067,八字,八字,bāzì,
A00207,貝,贝,bèi,
A00208,備,备,bèi,
F022,背,背,bèi,
B00290,鋇,钡,bèi,
A00212,倍,倍,bèi,
A00214,被,被,bèi,
A00219,輩,辈,bèi,
A00205,北,北,běi,
A00198,卑,卑,bēi,
A00197,杯,杯,bēi,
A00200,悲,悲,bēi,
A00204,碑,碑,bēi,
A00199,背,背,bēi / bèi,
F051,伯母,伯母,bèi mǔ,
B00277,備案,备案,bèi’àn,
F020,北邊,北边,běi•bian,
B00271,北邊,北边,běi•biān,
A00201,悲哀,悲哀,bēiāi,
B00270,北半球,北半球,běibànqiú,
B00260,背包,背包,bèibāo,
B00256,卑鄙,卑鄙,bēibǐ,
F021,北部,北部,běibù,
A00202,悲慘,悲惨,bēicǎn,
B00294,被單,被单,bèidān,
A00209,背道而馳,背道而驰,bèidào’érchí,
A00215,被動,被动,bèidòng,
A00206,北方,北方,běifāng,
B00262,悲憤,悲愤,bēifèn,
B00282,背風,背风,bèifēng,
B00261,背負,背负,bēifù,
A00216,被告,被告,bèigào,
B00263,悲觀,悲观,bēiguān,
B00272,北國,北国,běiguó,
A00210,背後,背后,bèihòu,
F023,背後,背后,bèihòu,
B00283,背脊,背脊,bèijǐ,
B00273,北極,北极,běijí,
B00291,倍加,倍加,bèijiā,
A00211,背景,背景,bèijǐng,
B00274,北極星,北极星,běijíxīng,
A00203,悲劇,悲剧,bēijù,
B00276,貝殻,贝壳,bèiké,
B00278,備課,备课,bèikè,
B00264,悲苦,悲苦,bēikǔ,
B00284,背離,背离,bèilí,
B00265,悲凉,悲凉,bēiliáng,
B00257,卑劣,卑劣,bēiliè,
A00213,悖論,悖论,bèilùn,
B00285,背面,背面,bèimiàn,
B00286,背叛,背叛,bèipàn,
B00295,被迫,被迫,bèipò,
A00217,被褥,被褥,bèirù,
B00275,北上,北上,běishàng,
B00266,悲傷,悲伤,bēishāng,
B00292,倍數,倍数,bèishù,
B00287,背誦,背诵,bèisòng,
B00267,悲痛,悲痛,bēitòng,
B00279,備忘録,备忘录,bèiwànglù,
B00258,卑微,卑微,bēiwēi,
B00269,碑文,碑文,bēiwén,
B00296,被窩兒,被窝儿,bèiwōr,
E191,被窩兒,被窝儿,bèiwōr,
B00259,卑下,卑下,bēixià,
B00288,背心,背心,bèixīn,
F024,背心,背心,bèixīn,
B00289,背影,背影,bèiyǐng,
B00280,備用,备用,bèiyòng,
B00293,倍增,倍增,bèizēng,
B00281,備戰,备战,bèizhàn,
B00268,悲壯,悲壮,bēizhuàng,
A00218,被子,被子,bèizi,
Q021,被子,被子,bèizi,
B00255,杯子,杯子,bēizi,
F019,杯子,杯子,bēizi,
Q020,杯子,杯子,bēizi,
A00236,笨,笨,bèn,
F027,笨,笨,bèn,
A00224,本,本,běn,
B00319,苯,苯,běn,
A00220,奔,奔,bēn / bèn,
B00309,本錢,本钱,běn•qián,
B00297,奔波,奔波,bēnbō,
B00303,本部,本部,běnbù,
A00221,奔馳,奔驰,bēnchí,
F028,笨蛋,笨蛋,bèndàn,
A00225,本地,本地,běndì,
B00298,奔放,奔放,bēnfàng,
B00304,本分,本分,běnfēn,
B00299,奔赴,奔赴,bēnfù,
A00240,泵,泵,bèng,
B00323,迸,迸,bèng,
A00241,蹦,蹦,bèng,
A00237,崩,崩,bēng,
A00239,绷,绷,bēng / běng / bèng,
B00322,綳帶,綳带,bēngdài,
B00324,迸發,迸发,bèngfā,
A00238,崩潰,崩溃,bēngkuì,
B00306,本家,本家,běnjiā,
B00307,本金,本金,běnjīn,
B00308,本科,本科,běnkē,
A00226,本來,本来,běnlái,
F025,本來,本来,běnlái,
A00227,本領,本领,běnlǐng,
B00300,奔流,奔流,bēnliú,
A00228,本能,本能,běnnéng,
A00222,奔跑,奔跑,bēnpǎo,
A00229,本人,本人,běnrén,
B00310,本色,本色,běnsè,
A00230,本身,本身,běnshēn,
A00232,本事,本事,běnshi,
Q022,本事,本事,běnshi,
A00231,本事,本事,běnshì,
A00223,奔騰,奔腾,bēnténg,
A00233,本體,本体,běntǐ,
B00311,本土,本土,běntǔ,
B00312,本位,本位,běnwèi,
B00305,本行,本行,běnxíng,
A00234,本性,本性,běnxìng,
B00313,本義,本义,běnyì,
B00314,本意,本意,běnyì,
B00301,奔湧,奔涌,bēnyǒng,
B00315,本原,本原,běnyuán,
B00316,本源,本源,běnyuán,
B00317,本職,本职,běnzhí,
A00235,本質,本质,běnzhì,
B00320,笨重,笨重,bènzhòng,
B00321,笨拙,笨拙,bènzhuō,
B00318,本子,本子,běnzi,
F026,本子,本子,běnzi,
Q023,本子,本子,běnzi,
B00302,奔走,奔走,bēnzǒu,
A00243,鼻,鼻,bí,
A00263,幣,币,bì,
A00264,必,必,bì,
A00271,畢,毕,bì,
A00274,閉,闭,bì,
A00277,斃,毙,bì,
B00360,敝,敝,bì,
A00279,痹,痹,bì,
A00283,弊,弊,bì,
A00281,碧,碧,bì,
A00282,蔽,蔽,bì,
A00284,壁,壁,bì,
A00288,臂,臂,bì,
A00286,避,避,bì,
A00289,璧,璧,bì,
A00248,比,比,bǐ,
A00256,彼,彼,bǐ,
A00258,筆,笔,bǐ,
A00262,鄙,鄙,bǐ,
A00242,逼,逼,bī,
A00278,秘,秘,bì / mì,
A00280,辟／闢,辟,bì / pì,
A00245,鼻涕,鼻涕,bí•tì,
F030,鼻涕,鼻涕,bí•tì,
A00308,變,变,biàn,
A00323,遍,遍,biàn,
A00324,辨,辨,biàn,
A00327,辯,辩,biàn,
A00331,辮,辫,biàn,
A00305,貶,贬,biǎn,
A00306,扁,扁,biǎn,
A00307,匾,匾,biǎn,
A00290,邊,边,biān,
A00297,編,编,biān,
A00303,鞭,鞭,biān,
B00341,彼岸,彼岸,bǐàn,
A00320,便,便,biàn / pián,
A00299,編輯,编辑,biān•jí,
A00325,辨別,辨别,biànbié,
B00416,辯駁,辩驳,biànbó,
B00412,遍布,遍布,biànbù,
B00388,鞭策,鞭策,biāncè,
B00372,邊陲,边陲,biānchuí,
B00389,鞭打,鞭打,biāndǎ,
B00394,扁擔,扁担,biǎndan,
Q027,扁擔,扁担,biǎndan,
B00407,便道,便道,biàndào,
B00377,編導,编导,biāndǎo,
B00413,遍地,遍地,biàndì,
F036,遍地,遍地,biàndì,
B00391,貶低,贬低,biǎndī,
A00309,變動,变动,biàndòng,
B00378,編隊,编队,biānduì,
A00310,變法,变法,biànfǎ,
B00373,邊防,边防,biānfáng,
A00302,蝙蝠,蝙蝠,biānfú,
A00311,變革,变革,biàngé,
A00312,變更,变更,biàngēng,
B00395,變故,变故,biàngù,
B00374,邊關,边关,biānguān,
B00379,編號,编号,biānhào,
A00328,辯護,辩护,biànhù,
A00313,變化,变化,biànhuà,
B00396,變幻,变幻,biànhuàn,
A00314,變換,变换,biànhuàn,
B00417,辯護人,辩护人,biànhùrén,
B00414,遍及,遍及,biànjí,
A00298,編輯,编辑,biānjí,
A00291,邊際,边际,biānjì,
A00292,邊疆,边疆,biānjiāng,
B00408,便捷,便捷,biànjié,
B00418,辯解,辩解,biànjiě,
A00293,邊界,边界,biānjiè,
A00294,邊境,边境,biānjìng,
B00380,編劇,编剧,biānjù,
A00321,便利,便利,biànlì,
A00315,變量,变量,biànliàng,
B00419,辯論,辩论,biànlùn,
B00381,編碼,编码,biānmǎ,
B00397,變賣,变卖,biànmài,
B00409,便秘,便秘,biànmì,
B00410,便民,便民,biànmín,
B00382,編排,编排,biānpái,
B00390,鞭炮,鞭炮,biānpào,
A00316,變遷,变迁,biànqiān,
A00295,邊區,边区,biānqū,
A00326,辨認,辨认,biànrèn,
B00398,變色,变色,biànsè,
B00399,變數,变数,biànshù,
A00317,變態,变态,biàntài,
